Loading combined dataset (1.72B train tokens)...
Combined: 3,363,193 train seqs, 16,900 val seqs, vocab=32000
Resuming from weights.pkl
d=1024 h=16 kv_h=4 l=16 ctx=512 bs=16
combined_epoch2 trained_bpe vocab=32000
242,288,640 params, 210199 steps/epoch, 210199 total
/home/johann/Dropbox/ML/experiments/transformer/.venv/lib/python3.14/site-packages/jax/_src/compiler.py:834: UserWarning: Error writing persistent compilation cache entry for 'jit_train_step': FileNotFoundError: [Errno 2] No such file or directory: '/home/johann/Dropbox/ML/experiments/transformer/.jax_cache/jit_step_bf16_fwd-d220050f0a73f05857a0f29d66052c5b1bb6a6fbf370b712eb55b09b524da218-atime'
  warnings.warn(
    step 201000/210199  loss=2.7107  4.4 steps/s  eta=35min
    step 202000/210199  loss=2.7101  4.4 steps/s  eta=31min
    step 203000/210199  loss=2.7095  4.4 steps/s  eta=27min
    step 204000/210199  loss=2.7088  4.4 steps/s  eta=24min
    step 205000/210199  loss=2.7081  4.4 steps/s  eta=20min
    step 206000/210199  loss=2.7074  4.4 steps/s  eta=16min
    step 207000/210199  loss=2.7068  4.4 steps/s  eta=12min
    step 208000/210199  loss=2.7062  4.4 steps/s  eta=8min
    step 209000/210199  loss=2.7055  4.4 steps/s  eta=5min
    step 210000/210199  loss=2.7049  4.4 steps/s  eta=1min
/home/johann/Dropbox/ML/experiments/transformer/.venv/lib/python3.14/site-packages/jax/_src/compiler.py:834: UserWarning: Error writing persistent compilation cache entry for 'jit_eval_loss': FileNotFoundError: [Errno 2] No such file or directory: '/home/johann/Dropbox/ML/experiments/transformer/.jax_cache/jit_step_bf16_fwd-d220050f0a73f05857a0f29d66052c5b1bb6a6fbf370b712eb55b09b524da218-atime'
  warnings.warn(
  epoch 1/1  train=2.7048  val=3.3380  ppl=28.16

48067s total, 7944MB peak VRAM
saved /home/johann/Dropbox/ML/experiments/transformer/weights.pkl
